"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
33 - NELSON PIQUET JR - Stock Car Pro
"14:04:38.978","14","1:21.470","147,146","0,0","25.223","0,0","20.051","0,0","36.196","207,7","0.553"
444 - VICENTE ORIGE - Stock Car Pro
"13:36:54.406","1","1:36.366","124,401","","","0,0","22.332","0,0","38.742","",""
"13:38:20.898","2","1:26.492","138,602","0,0","26.764","0,0","21.095","0,0","38.633","202,9","0.566"
"13:39:45.140","3","1:24.242","142,304","0,0","26.253","0,0","20.847","0,0","37.142","207,3","0.554"
"13:41:08.521","4","1:23.381","143,774","0,0","25.851","0,0","20.499","0,0","37.031","207,3","0.554"
"13:45:24.398","5","4:15.877","46,851","0,0","25.942","0,0","27.327","","","207,3","0.554"
"13:46:55.069","6","1:30.671","132,214","","","0,0","20.890","0,0","39.611","",""
"13:48:20.220","7","1:25.151","140,785","0,0","26.636","0,0","20.677","0,0","37.838","207,7","0.553"
"13:49:43.794","8","1:23.574","143,442","0,0","26.011","0,0","20.618","0,0","36.945","206,9","0.555"
"13:51:07.446","9","1:23.652","143,308","0,0","25.943","0,0","20.475","0,0","37.234","206,5","0.556"
"13:52:30.882","10","1:23.436","143,679","0,0","25.946","0,0","20.449","0,0","37.041","207,7","0.553"
"13:53:54.504","11","1:23.622","143,359","0,0","25.867","0,0","20.498","0,0","37.257","207,3","0.554"
"13:57:17.435","12","3:22.931","59,074","0,0","25.946","0,0","21.386","","","206,2","0.557"
"13:58:47.768","13","1:30.333","132,709","","","0,0","21.640","0,0","37.867","",""
"14:00:11.932","14","1:24.164","142,436","0,0","26.117","0,0","20.861","0,0","37.186","204,3","0.562"
"14:01:34.402","15","1:22.470","145,362","0,0","25.321","0,0","20.269","0,0","36.880","206,9","0.555"
"14:02:55.874","16","1:21.472","147,143","0,0","25.227","0,0","20.045","0,0","36.200","208,0","0.552"
"14:04:17.410","17","1:21.536","147,027","0,0","25.421","0,0","20.020","0,0","36.095","207,7","0.553"
"14:05:39.058","18","1:21.648","146,825","0,0","25.458","0,0","20.001","0,0","36.189","208,0","0.552"
8 - RAFAEL SUZUKI - Stock Car Pro
"13:02:07.156","1","1:41.244","118,407","","","0,0","24.446","0,0","41.465","",""
"13:03:34.812","2","1:27.656","136,762","0,0","26.881","0,0","21.700","0,0","39.075","203,3","0.565"
"13:04:57.606","3","1:22.794","144,793","0,0","25.691","0,0","20.624","0,0","36.479","207,7","0.553"
"13:06:20.084","4","1:22.478","145,348","0,0","25.513","0,0","20.523","0,0","36.442","208,0","0.552"
"13:10:16.420","5","3:56.336","50,724","0,0","25.624","0,0","20.599","","","208,4","0.551"
"13:11:52.952","6","1:36.532","124,187","","","0,0","22.767","0,0","41.210","",""
"13:13:15.470","7","1:22.518","145,277","0,0","25.546","0,0","20.527","0,0","36.445","207,3","0.554"
"13:14:38.154","8","1:22.684","144,986","0,0","25.507","0,0","20.634","0,0","36.543","208,8","0.550"
"13:19:30.863","9","4:52.709","40,955","0,0","25.664","0,0","20.548","","","208,8","0.550"
"13:20:57.637","10","1:26.774","138,152","","","0,0","20.636","0,0","36.834","",""
"13:23:08.357","11","2:10.720","91,707","0,0","25.598","0,0","20.589","","","208,4","0.551"
"13:24:39.718","12","1:31.361","131,216","","","0,0","21.809","0,0","38.138","",""
"13:26:03.744","13","1:24.026","142,670","0,0","26.022","0,0","20.858","0,0","37.146","206,9","0.555"
"13:27:25.387","14","1:21.643","146,834","0,0","25.254","0,0","20.215","0,0","36.174","208,4","0.551"
"13:28:46.904","15","1:21.517","147,061","0,0","25.234","0,0","20.156","0,0","36.127","208,8","0.550"
12 - LUCAS FORESTI - Stock Car Pro
"13:02:17.185","1","1:35.142","126,001","","","0,0","22.196","0,0","40.096","",""
"13:03:48.998","2","1:31.813","130,570","0,0","28.826","0,0","21.155","0,0","41.832","130,1","0.883"
"13:05:12.612","3","1:23.614","143,373","0,0","26.068","0,0","20.538","0,0","37.008","206,2","0.557"
"13:06:35.956","4","1:23.344","143,838","0,0","25.925","0,0","20.604","0,0","36.815","206,2","0.557"
"13:09:54.835","5","3:18.879","60,278","0,0","25.827","0,0","20.474","","","205,8","0.558"
"13:11:23.331","6","1:28.496","135,464","","","0,0","20.934","0,0","36.951","",""
"13:12:46.799","7","1:23.468","143,624","0,0","26.067","0,0","20.571","0,0","36.830","205,4","0.559"
"13:16:17.402","8","3:30.603","56,922","0,0","25.930","0,0","20.958","","","206,2","0.557"
"13:17:45.493","9","1:28.091","136,087","","","0,0","20.629","0,0","36.891","",""
"13:19:08.633","10","1:23.140","144,191","0,0","25.763","0,0","20.531","0,0","36.846","206,2","0.557"
"13:21:30.671","11","2:22.038","84,400","0,0","25.724","0,0","20.421","","","206,9","0.555"
"13:23:02.776","12","1:32.105","130,156","","","0,0","22.008","0,0","39.135","",""
"13:24:30.610","13","1:27.834","136,485","0,0","29.070","0,0","21.035","0,0","37.729","153,3","0.749"
"13:25:59.583","14","1:28.973","134,738","0,0","28.960","0,0","21.401","0,0","38.612","144,1","0.797"
"13:27:21.173","15","1:21.590","146,930","0,0","25.233","0,0","20.102","0,0","36.255","205,8","0.558"
"13:28:42.853","16","1:21.680","146,768","0,0","25.269","0,0","20.183","0,0","36.228","206,2","0.557"
19 - FELIPE MASSA - Stock Car Pro
"13:02:13.347","1","1:33.329","128,449","","","0,0","22.614","0,0","38.602","",""
"13:03:45.793","2","1:32.446","129,676","0,0","26.551","0,0","21.202","0,0","44.693","204,7","0.561"
"13:05:09.146","3","1:23.353","143,822","0,0","25.910","0,0","20.782","0,0","36.661","206,9","0.555"
"13:06:32.016","4","1:22.870","144,660","0,0","25.685","0,0","20.603","0,0","36.582","208,0","0.552"
"13:07:54.807","5","1:22.791","144,798","0,0","25.634","0,0","20.551","0,0","36.606","208,4","0.551"
"13:14:21.127","6","6:26.320","31,031","0,0","25.996","0,0","21.119","","","208,4","0.551"
"13:15:51.553","7","1:30.426","132,572","","","0,0","20.827","0,0","39.111","",""
"13:17:14.376","8","1:22.823","144,742","0,0","25.603","0,0","20.572","0,0","36.648","206,2","0.557"
"13:23:22.949","9","6:08.573","32,525","0,0","25.538","0,0","20.837","","","208,4","0.551"
"13:24:54.502","10","1:31.553","130,941","","","0,0","22.131","0,0","37.600","",""
"13:26:21.045","11","1:26.543","138,521","0,0","25.863","0,0","20.450","0,0","40.230","206,2","0.557"
"13:27:42.656","12","1:21.611","146,892","0,0","25.358","0,0","20.167","0,0","36.086","209,9","0.547"
0 - CACA BUENO - Stock Car Pro
"13:10:45.273","1","1:40.678","119,073","","","0,0","22.404","0,0","37.507","",""
"13:13:21.426","2","2:36.153","76,771","0,0","29.939","0,0","26.991","","","204,7","0.561"
"13:15:04.380","3","1:42.954","116,440","","","0,0","21.168","0,0","37.978","",""
"13:16:27.078","4","1:22.698","144,961","0,0","25.586","0,0","20.562","0,0","36.550","208,0","0.552"
"13:17:49.916","5","1:22.838","144,716","0,0","25.740","0,0","20.475","0,0","36.623","206,9","0.555"
"13:19:12.553","6","1:22.637","145,068","0,0","25.594","0,0","20.518","0,0","36.525","207,7","0.553"
"13:22:54.048","7","3:41.495","54,123","0,0","28.568","0,0","24.305","","","208,4","0.551"
"13:24:43.308","8","1:49.260","109,720","","","0,0","25.517","0,0","46.926","",""
"13:26:11.883","9","1:28.575","135,343","0,0","26.343","0,0","22.542","0,0","39.690","204,3","0.562"
"13:27:34.714","10","1:22.831","144,728","0,0","25.854","0,0","20.785","0,0","36.192","209,2","0.549"
"13:28:56.423","11","1:21.709","146,716","0,0","25.241","0,0","20.429","0,0","36.039","210,3","0.546"
"13:30:18.216","12","1:21.793","146,565","0,0","25.348","0,0","20.231","0,0","36.214","208,4","0.551"
293 - LEONARDO REIS - Stock Car Pro Rookie
"13:01:51.909","1","1:37.494","122,961","","","0,0","23.195","0,0","38.429","",""
"13:03:19.860","2","1:27.951","136,303","0,0","29.216","0,0","21.326","0,0","37.409","136,9","0.839"
"13:04:43.315","3","1:23.455","143,646","0,0","25.855","0,0","20.636","0,0","36.964","207,3","0.554"
"13:06:06.651","4","1:23.336","143,851","0,0","25.862","0,0","20.640","0,0","36.834","206,9","0.555"
"13:07:29.923","5","1:23.272","143,962","0,0","25.834","0,0","20.550","0,0","36.888","206,9","0.555"
"13:11:43.026","6","4:13.103","47,364","0,0","25.875","0,0","21.599","","","207,7","0.553"
"13:13:12.803","7","1:29.777","133,531","","","0,0","21.400","0,0","37.252","",""
"13:14:36.173","8","1:23.370","143,793","0,0","25.982","0,0","20.565","0,0","36.823","207,3","0.554"
"13:15:59.349","9","1:23.176","144,128","0,0","25.796","0,0","20.598","0,0","36.782","207,7","0.553"
"13:19:03.280","10","3:03.931","65,177","0,0","25.802","0,0","20.740","","","207,7","0.553"
"13:20:35.010","11","1:31.730","130,688","","","0,0","21.928","0,0","37.414","",""
"13:23:19.045","12","2:44.035","73,082","0,0","25.828","0,0","20.999","","","208,0","0.552"
