"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
73 - ENZO ELIAS - Stock Car Pro
"10:51:37.528","16","16","1:22.576","145,175","0,0","25.656","0,0","20.416","0,0","36.504","205,4","0.559"
"10:53:00.064","17","17","1:22.536","145,246","0,0","25.651","0,0","20.370","0,0","36.515","205,8","0.558"
"10:54:22.691","18","18","1:22.627","145,086","0,0","25.588","0,0","20.451","0,0","36.588","206,5","0.556"
"10:55:45.288","19","19","1:22.597","145,138","0,0","25.564","0,0","20.458","0,0","36.575","206,2","0.557"
"10:57:08.036","20","20","1:22.748","144,874","0,0","25.596","0,0","20.537","0,0","36.615","207,3","0.554"
"10:58:30.634","21","21","1:22.598","145,137","0,0","25.622","0,0","20.415","0,0","36.561","206,5","0.556"
"10:59:53.476","22","22","1:22.842","144,709","0,0","25.542","0,0","20.553","0,0","36.747","206,9","0.555"
"11:01:16.537","23","23","1:23.061","144,328","0,0","25.670","0,0","20.623","0,0","36.768","207,7","0.553"
4 - JULIO CAMPOS - Stock Car Pro
"10:30:21.946","1","1","1:30.663","132,226","0,0","31.024","0,0","22.168","0,0","37.471","145,2","0.791"
"10:31:45.783","2","2","1:23.837","142,992","0,0","26.198","0,0","21.026","0,0","36.613","206,9","0.555"
"10:33:09.152","3","3","1:23.369","143,794","0,0","26.055","0,0","20.776","0,0","36.538","208,8","0.550"
"10:34:31.842","4","4","1:22.690","144,975","0,0","25.585","0,0","20.607","0,0","36.498","208,0","0.552"
"10:35:54.567","5","5","1:22.725","144,914","0,0","25.567","0,0","20.583","0,0","36.575","208,8","0.550"
"10:37:17.123","6","6","1:22.556","145,211","0,0","25.461","0,0","20.562","0,0","36.533","208,8","0.550"
"10:38:39.764","7","7","1:22.641","145,061","0,0","25.524","0,0","20.564","0,0","36.553","208,8","0.550"
"10:40:02.213","8","8","1:22.449","145,399","0,0","25.422","0,0","20.461","0,0","36.566","209,2","0.549"
"10:41:24.584","9","9","1:22.371","145,537","0,0","25.471","0,0","20.499","0,0","36.401","208,8","0.550"
"10:43:18.484","10","10","1:53.900","105,250","0,0","25.413","0,0","20.428","","","208,4","0.551"
"10:44:45.189","11","11","1:26.705","138,262","","","0,0","20.667","0,0","36.726","",""
"10:46:07.861","12","12","1:22.672","145,007","0,0","25.647","0,0","20.536","0,0","36.489","207,7","0.553"
"10:47:30.591","13","13","1:22.730","144,905","0,0","25.569","0,0","20.570","0,0","36.591","207,7","0.553"
"10:48:53.244","14","14","1:22.653","145,040","0,0","25.527","0,0","20.605","0,0","36.521","208,4","0.551"
"10:50:16.029","15","15","1:22.785","144,809","0,0","25.606","0,0","20.612","0,0","36.567","208,0","0.552"
"10:51:38.654","16","16","1:22.625","145,089","0,0","25.494","0,0","20.548","0,0","36.583","208,8","0.550"
